BuildingNumber,StreetAddress,Landmark,Locality,City,State,PostalCode,Country
,ROAD UDHAM SINGH,,DARAU ROAD UDHAM SINGH NAGAR,KICHHA,,263148,India
,,,,THANE,,421302,India
T-4,,,HIMUDA COLONY,SOLAN,HP,174101,India
,,,,TIRUPPUR,,638701,India
8-2503,ROAD,,,MUMBAI,MH,400103,India
286/3B1A,ROAD,,,CHENNAI,TN,600041,India
,,,,KANPUR,UP,208001,India
,"ROAD, ST FLOOR",INCOME TAX COMMISSIONER OFFICE,,BILASPUR,CG,495001,India
R-3,,,,MUMBAI,MH,400021,India
155/1B,ROAD,,,TIRUPPUR,TN,641602,India
598/2,,,,KOLHAPUR,MH,416116,India
,STURBA GANDHI MARG,,BLOCK B,NEW DELHI,DL,110001,India
,STRIAL AREA,,,FARIDABAD,HR,121001,India
412,ROAD,,,RAJKOT,GJ,360021,India
A-903,STIAL DREAMS,DREAM WORLD RESIDENCY G D GOENKA SCHOOL,,SURAT,GJ,395007,India
131,,,,KANPUR,UP,209725,India
,"ROAD, RDANA TEHSIL ASSANDH",,,ASSANDH,HR,132039,India
3,,,NO  GOLDEN HOMES LIBERTY ACRES PHASE,BANGALORE,KA,562107,India
,STREET,,BALAJI NAGAR,NELLORE,AP,524002,India
E-14,ST FLOOR,,DEFENCE COLONY,DELHI,DL,110024,India
,ST,,,KARUR,TN,639002,India
,,,G.I.D.C. PHASE,JAMNAGAR,GJ,361004,India
,"RD FLOOR, ROAD, STAND 2ND MILE SEVOKE ROAD",,,SILIGURI,,734001,India
,ROAD,,,LUDHIANA,PB,141014,India
139/,,,SREERAM NAGAR COLONY,PUPPALAGUDA,TS,500089,India
,,,,LUDHIANA,PB,141010,India
,"ROAD, ST FLOOR",,,RAIPUR,CG,492009,India
,STATE B/H. HANUMAN TEMPLE,,,AHMEDABAD,GJ,382445,India
,,,VALLABH NAGAR,INDORE,MP,452003,India
148,ROAD,GANDHI BAZAAR CIRCLE BASAVANAGUDI BENGALURU IN-KA IN 560004,,BENGALURU,KA,560004,India
,,,GANDHI NAGAR,GOBICHETTI PALAYAM TALUK IN-TN IN 638452,TN,638452,India
4,,,,CHENNAI,TN,603210,India
L-2,ROAD,,,AHMEDABAD,,380060,India
,ST,,,MUMBAI,,400001,India
835/1,ST GATE,YMCA CLUB SUR NO +3,BLOCK NO A/1003,AHMEDABAD,GJ,380051,India
67/A,STRIAL AREA SRI SRINIVASA RICE INDUSTRIES COMP,,,MANDYA,,571476,India
,,,,NAGPUR,MH,440014,India
,ROAD,,,BAREILLY,UP,243201,India
,ROAD,,SIDDARTHANAGAR,MYSORE,,570011,India
17,RD NO. KESHRI COMPLEX SHILPI PLAZA B-BLOCK,,,HUZUR,MP,486001,India
,,,,BHOPAL,MP,462023,India
,RDEEP CINEMAS,AMARDEEP CINEMAS,,NAGPUR,MH,440008,India
E-11,,,PATEL NAGAR,ALWAR,RJ,301001,India
54,,,VIJAY NAGAR,INDORE,MP,452010,India
B-22,STAR INDUSTRIAL AREA,,SHENDRA MIDC CHHATRAPATI SAMBHAJI NAGAR,CHHATRAPATI SAMBHAJI NAGAR,MH,431154,India
